,Year,Place of Info Breach,Method of Breach,Type of Breach,Name of Business,Organization Type,Summary of Events,Individuals Affected
4735,2011,Other,inside job,Loss,Countrywide Financial Corp,Financial,,93500
4741,2011,Other,lost / stolen media,Loss,Morgan Stanley Smith Barney,Financial,,93500
4768,2011,Network Server,hacked,Theft,Citigroup,Financial,,84000
4769,2011,Network Server,inside job,Theft,Countrywide Financial Corp,Financial,,84000
4775,2011,Network Server,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,84000
4802,2011,Other,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,935
4803,2011,Other,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,935
4809,2011,Other,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,935
4836,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,132940
4837,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,132940
4843,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,132940
4870,2011,Paper,hacked,Improper Disposal,Citigroup,Financial,,2717
4871,2011,Paper,inside job,Improper Disposal,Countrywide Financial Corp,Financial,,2717
4877,2011,Paper,lost / stolen media,Improper Disposal,Morgan Stanley Smith Barney,Financial,,2717
4904,2011,Other,hacked,Unknown,Citigroup,Financial,,1900000
4905,2011,Other,inside job,Unknown,Countrywide Financial Corp,Financial,,1900000
4911,2011,Other,lost / stolen media,Unknown,Morgan Stanley Smith Barney,Financial,,1900000
4938,2011,Paper,hacked,Loss,Citigroup,Financial,,1215
4939,2011,Paper,inside job,Loss,Countrywide Financial Corp,Financial,,1215
4945,2011,Paper,lost / stolen media,Loss,Morgan Stanley Smith Barney,Financial,,1215
4972,2011,Other,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,675
4973,2011,Other,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,675
4979,2011,Other,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,675
5006,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,15000
5007,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,15000
5013,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,15000
5040,2011,Network Server,hacked,Hacking/IT Incident,Citigroup,Financial,,6000
5041,2011,Network Server,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,6000
5047,2011,Network Server,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,6000
5074,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,845
5075,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,845
5081,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,845
5108,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,686
5109,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,686
5115,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,686
5142,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,9393
5143,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,9393
5149,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,9393
5176,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,532
5177,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,532
5183,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,532
5210,2011,Desktop Computer,hacked,Hacking/IT Incident,Citigroup,Financial,,1070
5211,2011,Desktop Computer,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,1070
5217,2011,Desktop Computer,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,1070
5244,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,5960
5245,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,5960
5251,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,5960
5278,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,"An unencrypted laptop was stolen from a locked office in the hospital.  The laptop contained the PHI of 1523 patients. The protected health information involved in the breach contained demographic and clinical data. Following the breach, the CE filed a police report, notified affected patients and notified the media. Additionally, the CE expanded its encryption policy to include more laptops and implemented additional physical safeguards.

",1500
5279,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,"An unencrypted laptop was stolen from a locked office in the hospital.  The laptop contained the PHI of 1523 patients. The protected health information involved in the breach contained demographic and clinical data. Following the breach, the CE filed a police report, notified affected patients and notified the media. Additionally, the CE expanded its encryption policy to include more laptops and implemented additional physical safeguards.

",1500
5285,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"An unencrypted laptop was stolen from a locked office in the hospital.  The laptop contained the PHI of 1523 patients. The protected health information involved in the breach contained demographic and clinical data. Following the breach, the CE filed a police report, notified affected patients and notified the media. Additionally, the CE expanded its encryption policy to include more laptops and implemented additional physical safeguards.

",1500
5312,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,563
5313,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,563
5319,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,563
5346,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,22001
5347,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,22001
5353,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,22001
5380,2011,Other,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,850
5381,2011,Other,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,850
5387,2011,Other,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,850
5414,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,32390
5415,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,32390
5421,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,32390
5448,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,24361
5449,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,24361
5455,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,24361
5482,2011,Paper,hacked,"Theft, Unauthorized Access/Disclosure",Citigroup,Financial,,654
5483,2011,Paper,inside job,"Theft, Unauthorized Access/Disclosure",Countrywide Financial Corp,Financial,,654
5489,2011,Paper,lost / stolen media,"Theft, Unauthorized Access/Disclosure",Morgan Stanley Smith Barney,Financial,,654
5516,2011,Other,hacked,Theft,Citigroup,Financial,,8000
5517,2011,Other,inside job,Theft,Countrywide Financial Corp,Financial,,8000
5523,2011,Other,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,8000
5550,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,620
5551,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,620
5557,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,620
5584,2011,Other,hacked,Improper Disposal,Citigroup,Financial,,1031
5585,2011,Other,inside job,Improper Disposal,Countrywide Financial Corp,Financial,,1031
5591,2011,Other,lost / stolen media,Improper Disposal,Morgan Stanley Smith Barney,Financial,,1031
5618,2011,Paper,hacked,Theft,Citigroup,Financial,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5619,2011,Paper,inside job,Theft,Countrywide Financial Corp,Financial,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5625,2011,Paper,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"A bag containing 43 pages of protected health information (PHI) of 550 nursing home residents and an encrypted laptop computer were stolen from the vehicle of an employee of the covered entity's (CE) business associate (BA).  The PHI included names, dates of birth, gender identities, names of the nursing homes, and Medicaid numbers.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media, and all affected individuals, as well as offering one year of free identity theft protection.  Following OCR's investigation, the CE's BA terminated the employee and re-trained its staff on its privacy and security policies, including not leaving laptops in unoccupied vehicles.  In addition, the CE reminded all contractors about the need to safeguard confidential information, and reviewed the BA's contractual obligations relating to safeguarding PHI.   The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5652,2011,Paper,hacked,Theft,Citigroup,Financial,"A laptop computer containing the protected health information (PHI) of approximately 550 individuals was stolen from the vehicle of the business associate's (BA) workforce member.  The PHI included names, dates of birth, gender identities, names of nursing homes, and Medicaid numbers of the covered entity's (CE) patients.  Following the breach, the BA terminated the employee who was involved in the breach and provided credit monitoring services to the affected individuals.  The BA also re-trained its staff.  Following OCR's investigation, the CE and the BA reviewed the BA's contractual obligations relating to PHI during an in-person meeting.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5653,2011,Paper,inside job,Theft,Countrywide Financial Corp,Financial,"A laptop computer containing the protected health information (PHI) of approximately 550 individuals was stolen from the vehicle of the business associate's (BA) workforce member.  The PHI included names, dates of birth, gender identities, names of nursing homes, and Medicaid numbers of the covered entity's (CE) patients.  Following the breach, the BA terminated the employee who was involved in the breach and provided credit monitoring services to the affected individuals.  The BA also re-trained its staff.  Following OCR's investigation, the CE and the BA reviewed the BA's contractual obligations relating to PHI during an in-person meeting.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5659,2011,Paper,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"A laptop computer containing the protected health information (PHI) of approximately 550 individuals was stolen from the vehicle of the business associate's (BA) workforce member.  The PHI included names, dates of birth, gender identities, names of nursing homes, and Medicaid numbers of the covered entity's (CE) patients.  Following the breach, the BA terminated the employee who was involved in the breach and provided credit monitoring services to the affected individuals.  The BA also re-trained its staff.  Following OCR's investigation, the CE and the BA reviewed the BA's contractual obligations relating to PHI during an in-person meeting.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.",550
5686,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,13412
5687,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,13412
5693,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,13412
5720,2011,Paper,hacked,Theft,Citigroup,Financial,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.",6006
5721,2011,Paper,inside job,Theft,Countrywide Financial Corp,Financial,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.",6006
5727,2011,Paper,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"An employee of the covered entity (CE), VA Caribbean Healthcare System, left documents containing the protected health information (PHI) of 6,006 individuals in an unsecure bag at a nursing station.  The PHI included names, social security numbers, patient care assignments, patient counts and patient census lists.  Upon discovery of the breach, the CE secured the PHI and provided breach notification to HHS, the media, and affected individuals.  As a result of OCR's investigation, the CE disciplined and retrained the employee and implemented a procedure that nursing leadership is required to conduct rounds on wards once vacated.  The CE also retrained all staff on its privacy and security policies and procedures.",6006
5754,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,400000
5755,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,400000
5761,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,400000
5788,2011,Other Portable Electronic Device,hacked,"Theft, Loss",Citigroup,Financial,,1986
5789,2011,Other Portable Electronic Device,inside job,"Theft, Loss",Countrywide Financial Corp,Financial,,1986
5795,2011,Other Portable Electronic Device,lost / stolen media,"Theft, Loss",Morgan Stanley Smith Barney,Financial,,1986
5822,2011,Paper,hacked,Unknown,Citigroup,Financial,,2700
5823,2011,Paper,inside job,Unknown,Countrywide Financial Corp,Financial,,2700
5829,2011,Paper,lost / stolen media,Unknown,Morgan Stanley Smith Barney,Financial,,2700
5856,2011,Other Portable Electronic Device,hacked,Theft,Citigroup,Financial,,17000
5857,2011,Other Portable Electronic Device,inside job,Theft,Countrywide Financial Corp,Financial,,17000
5863,2011,Other Portable Electronic Device,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,17000
5890,2011,E-mail,hacked,Unknown,Citigroup,Financial,,1263
5891,2011,E-mail,inside job,Unknown,Countrywide Financial Corp,Financial,,1263
5897,2011,E-mail,lost / stolen media,Unknown,Morgan Stanley Smith Barney,Financial,,1263
5924,2011,Paper,hacked,"Loss, Improper Disposal",Citigroup,Financial,,2000
5925,2011,Paper,inside job,"Loss, Improper Disposal",Countrywide Financial Corp,Financial,,2000
5931,2011,Paper,lost / stolen media,"Loss, Improper Disposal",Morgan Stanley Smith Barney,Financial,,2000
5958,2011,Other Portable Electronic Device,hacked,Theft,Citigroup,Financial,,1280
5959,2011,Other Portable Electronic Device,inside job,Theft,Countrywide Financial Corp,Financial,,1280
5965,2011,Other Portable Electronic Device,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,1280
5992,2011,Paper,hacked,Loss,Citigroup,Financial,,1192
5993,2011,Paper,inside job,Loss,Countrywide Financial Corp,Financial,,1192
5999,2011,Paper,lost / stolen media,Loss,Morgan Stanley Smith Barney,Financial,,1192
6026,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,884
6027,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,884
6033,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,884
6060,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,950
6061,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,950
6067,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,950
6094,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,15677
6095,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,15677
6101,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,15677
6128,2011,Other Portable Electronic Device,hacked,Loss,Citigroup,Financial,,1105
6129,2011,Other Portable Electronic Device,inside job,Loss,Countrywide Financial Corp,Financial,,1105
6135,2011,Other Portable Electronic Device,lost / stolen media,Loss,Morgan Stanley Smith Barney,Financial,,1105
6162,2011,Other,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,3463
6163,2011,Other,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,3463
6169,2011,Other,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,3463
6196,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,810
6197,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,810
6203,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,810
6230,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,705
6231,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,705
6237,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,705
6264,2011,Paper,hacked,Unknown,Citigroup,Financial,,1288
6265,2011,Paper,inside job,Unknown,Countrywide Financial Corp,Financial,,1288
6271,2011,Paper,lost / stolen media,Unknown,Morgan Stanley Smith Barney,Financial,,1288
6298,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,175350
6299,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,175350
6305,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,175350
6332,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,78042
6333,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,78042
6339,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,78042
6366,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,2000
6367,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,2000
6373,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,2000
6400,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,694
6401,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,694
6407,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,694
6434,2011,Other,hacked,Loss,Citigroup,Financial,,3589
6435,2011,Other,inside job,Loss,Countrywide Financial Corp,Financial,,3589
6441,2011,Other,lost / stolen media,Loss,Morgan Stanley Smith Barney,Financial,,3589
6468,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,10190
6469,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,10190
6475,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,10190
6502,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,"Two unencrypted laptop computers containing the electronic protected health information (ePHI) of 712 individuals were stolen from the covered entity's (CE) office.  The ePHI included names, dates of birth, social security numbers, diagnostic reports, and demographic information.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE improved physical security by installing an exit alarm lock and surveillance camera, and implementing a policy and procedure requiring managers to monitor inappropriate use of the facility's rear exit.  The CE also inventoried its ePHI systems and adopted and implemented policies and procedures for workstation security, encryption, security awareness and training, electronic devices, and media controls.",712
6503,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,"Two unencrypted laptop computers containing the electronic protected health information (ePHI) of 712 individuals were stolen from the covered entity's (CE) office.  The ePHI included names, dates of birth, social security numbers, diagnostic reports, and demographic information.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE improved physical security by installing an exit alarm lock and surveillance camera, and implementing a policy and procedure requiring managers to monitor inappropriate use of the facility's rear exit.  The CE also inventoried its ePHI systems and adopted and implemented policies and procedures for workstation security, encryption, security awareness and training, electronic devices, and media controls.",712
6509,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"Two unencrypted laptop computers containing the electronic protected health information (ePHI) of 712 individuals were stolen from the covered entity's (CE) office.  The ePHI included names, dates of birth, social security numbers, diagnostic reports, and demographic information.  Upon discovery of the breach, the CE filed a police report to recover the stolen items.  As a result of OCR's investigation, the CE improved physical security by installing an exit alarm lock and surveillance camera, and implementing a policy and procedure requiring managers to monitor inappropriate use of the facility's rear exit.  The CE also inventoried its ePHI systems and adopted and implemented policies and procedures for workstation security, encryption, security awareness and training, electronic devices, and media controls.",712
6536,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,880
6537,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,880
6543,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,880
6570,2011,Network Server,hacked,Hacking/IT Incident,Citigroup,Financial,,5000
6571,2011,Network Server,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,5000
6577,2011,Network Server,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,5000
6604,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,2800
6605,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,2800
6611,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,2800
6638,2011,Network Server,hacked,Hacking/IT Incident,Citigroup,Financial,,2021
6639,2011,Network Server,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,2021
6645,2011,Network Server,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,2021
6672,2011,Network Server,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,25330
6673,2011,Network Server,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,25330
6679,2011,Network Server,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,25330
6706,2011,Paper,hacked,Improper Disposal,Citigroup,Financial,,700
6707,2011,Paper,inside job,Improper Disposal,Countrywide Financial Corp,Financial,,700
6713,2011,Paper,lost / stolen media,Improper Disposal,Morgan Stanley Smith Barney,Financial,,700
6740,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,4573
6741,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,4573
6747,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,4573
6774,2011,Paper,hacked,Unauthorized Access/Disclosure,Citigroup,Financial,,1378
6775,2011,Paper,inside job,Unauthorized Access/Disclosure,Countrywide Financial Corp,Financial,,1378
6781,2011,Paper,lost / stolen media,Unauthorized Access/Disclosure,Morgan Stanley Smith Barney,Financial,,1378
6808,2011,Paper,hacked,Theft,Citigroup,Financial,,501
6809,2011,Paper,inside job,Theft,Countrywide Financial Corp,Financial,,501
6815,2011,Paper,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,501
6842,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,3604
6843,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,3604
6849,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,3604
6876,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,"An unencrypted laptop, containing the electronic protected health information (ePHI) of 1,870 individuals, was stolen from the covered entity's (CE) office.  The ePHI involved includes clinical evaluation reports, test results, patient names, addresses, phone numbers, and social security numbers.  Upon discovery of the breach, the CE notified affected individuals, OCR and the media.  Following OCR's investigation, the CE revised its HIPAA policies and procedures, implemented additional physical safeguards in its facility and installed encryption software.",1870
6877,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,"An unencrypted laptop, containing the electronic protected health information (ePHI) of 1,870 individuals, was stolen from the covered entity's (CE) office.  The ePHI involved includes clinical evaluation reports, test results, patient names, addresses, phone numbers, and social security numbers.  Upon discovery of the breach, the CE notified affected individuals, OCR and the media.  Following OCR's investigation, the CE revised its HIPAA policies and procedures, implemented additional physical safeguards in its facility and installed encryption software.",1870
6883,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"An unencrypted laptop, containing the electronic protected health information (ePHI) of 1,870 individuals, was stolen from the covered entity's (CE) office.  The ePHI involved includes clinical evaluation reports, test results, patient names, addresses, phone numbers, and social security numbers.  Upon discovery of the breach, the CE notified affected individuals, OCR and the media.  Following OCR's investigation, the CE revised its HIPAA policies and procedures, implemented additional physical safeguards in its facility and installed encryption software.",1870
6910,2011,Desktop Computer,hacked,Theft,Citigroup,Financial,,1200
6911,2011,Desktop Computer,inside job,Theft,Countrywide Financial Corp,Financial,,1200
6917,2011,Desktop Computer,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,,1200
6944,2011,Other Portable Electronic Device,hacked,Theft,Citigroup,Financial,"A covered entity's (CE) workforce member lost an external hard drive containing the electronic protected health information (ePHI) of 638 individuals while traveling.  The external hard drive included names, medical record numbers, dates of admission, medications, diagnoses, and treatment information.  The CE notified HHS, the media, and all individuals affected regarding the breach and provided individuals with identity protection services.  Following the breach, the CE sanctioned the workforce member involved and retrained the workforce member and division staff on  safeguards for ePHI.  In addition, the CE established a mitigation workgroup to review policies and procedures regarding the protection of ePHI and created a new external hard drive encryption policy.  OCR obtained assurances that the CE  implemented the corrective action listed above.",638
6945,2011,Other Portable Electronic Device,inside job,Theft,Countrywide Financial Corp,Financial,"A covered entity's (CE) workforce member lost an external hard drive containing the electronic protected health information (ePHI) of 638 individuals while traveling.  The external hard drive included names, medical record numbers, dates of admission, medications, diagnoses, and treatment information.  The CE notified HHS, the media, and all individuals affected regarding the breach and provided individuals with identity protection services.  Following the breach, the CE sanctioned the workforce member involved and retrained the workforce member and division staff on  safeguards for ePHI.  In addition, the CE established a mitigation workgroup to review policies and procedures regarding the protection of ePHI and created a new external hard drive encryption policy.  OCR obtained assurances that the CE  implemented the corrective action listed above.",638
6951,2011,Other Portable Electronic Device,lost / stolen media,Theft,Morgan Stanley Smith Barney,Financial,"A covered entity's (CE) workforce member lost an external hard drive containing the electronic protected health information (ePHI) of 638 individuals while traveling.  The external hard drive included names, medical record numbers, dates of admission, medications, diagnoses, and treatment information.  The CE notified HHS, the media, and all individuals affected regarding the breach and provided individuals with identity protection services.  Following the breach, the CE sanctioned the workforce member involved and retrained the workforce member and division staff on  safeguards for ePHI.  In addition, the CE established a mitigation workgroup to review policies and procedures regarding the protection of ePHI and created a new external hard drive encryption policy.  OCR obtained assurances that the CE  implemented the corrective action listed above.",638
6978,2011,Network Server,hacked,Hacking/IT Incident,Citigroup,Financial,,506
6979,2011,Network Server,inside job,Hacking/IT Incident,Countrywide Financial Corp,Financial,,506
6985,2011,Network Server,lost / stolen media,Hacking/IT Incident,Morgan Stanley Smith Barney,Financial,,506
